iter	Passed	Remaining
741	16475	5728
742	16495	5705
743	16516	5682
744	16537	5660
745	16558	5637
746	16579	5615
747	16600	5592
748	16622	5570
749	16645	5548
750	16666	5526
751	16687	5503
752	16708	5480
753	16730	5458
754	16750	5435
755	16770	5412
756	16790	5389
757	16810	5367
758	16831	5344
759	16854	5322
760	16875	5300
761	16896	5277
762	16917	5255
763	16942	5233
764	16964	5211
765	16988	5189
766	17011	5167
767	17034	5145
768	17058	5124
769	17083	5102
770	17103	5080
771	17124	5057
772	17144	5034
773	17165	5012
774	17186	4989
775	17206	4966
776	17227	4944
777	17249	4922
778	17274	4900
779	17295	4878
780	17315	4855
781	17336	4833
782	17357	4810
783	17379	4788
784	17401	4765
785	17422	4743
786	17443	4721
787	17464	4698
788	17486	4676
789	17507	4653
790	17528	4631
791	17549	4608
792	17569	4586
793	17590	4563
794	17611	4541
795	17632	4518
796	17653	4496
797	17675	4474
798	17696	4451
799	17717	4429
800	17738	4406
801	17758	4384
802	17779	4361
803	17799	4339
804	17819	4316
805	17840	4294
806	17862	4271
807	17883	4249
808	17905	4227
809	17926	4205
810	17947	4182
811	17969	4160
812	17990	4137
813	18010	4115
814	18031	4092
815	18051	4070
816	18072	4048
817	18093	4025
818	18115	4003
819	18137	3981
820	18157	3958
821	18178	3936
822	18198	3913
823	18218	3891
824	18238	3868
825	18258	3846
826	18279	3823
827	18300	3801
828	18321	3779
829	18343	3757
830	18364	3734
831	18384	3712
832	18405	3689
833	18426	3667
834	18448	3645
835	18470	3623
836	18492	3601
837	18513	3578
838	18536	3557
839	18559	3535
840	18580	3512
841	18601	3490
842	18623	3468
843	18645	3446
844	18666	3424
845	18688	3401
846	18710	3379
847	18731	3357
848	18753	3335
849	18774	3313
850	18795	3290
851	18816	3268
852	18837	3246
853	18857	3223
854	18879	3201
855	18902	3179
856	18923	3157
857	18944	3135
858	18968	3113
859	18990	3091
860	19011	3069
861	19033	3047
862	19054	3024
863	19075	3002
864	19097	2980
865	19119	2958
866	19141	2936
867	19162	2914
868	19185	2892
869	19207	2870
870	19228	2847
871	19249	2825
872	19270	2803
873	19291	2781
874	19312	2758
875	19332	2736
876	19352	2714
877	19373	2692
878	19395	2669
879	19416	2647
880	19436	2625
881	19457	2603
882	19478	2580
883	19499	2558
884	19520	2536
885	19542	2514
886	19563	2492
887	19583	2469
888	19604	2447
889	19625	2425
890	19646	2403
891	19666	2381
892	19686	2358
893	19706	2336
894	19725	2314
895	19745	2291
896	19765	2269
897	19785	2247
898	19807	2225
899	19828	2203
900	19848	2180
901	19868	2158
902	19889	2136
903	19909	2114
904	19929	2092
905	19949	2069
906	19970	2047
907	19990	2025
908	20011	2003
909	20033	1981
910	20054	1959
911	20076	1937
912	20097	1915
913	20118	1893
914	20139	1870
915	20159	1848
916	20179	1826
917	20200	1804
918	20222	1782
919	20243	1760
920	20264	1738
921	20284	1716
922	20304	1693
923	20326	1671
924	20346	1649
925	20366	1627
926	20387	1605
927	20407	1583
928	20428	1561
929	20449	1539
930	20470	1517
931	20490	1495
932	20510	1472
933	20530	1450
934	20550	1428
935	20570	1406
936	20590	1384
937	20611	1362
